id,text,label,language,is_local_task,pair_id,pair_role,split
ex72,People at the taxi rank in Stellenbosch said officials redirected passengers to another route before noon.,1,eng,1,,,train
ex73,The school in the settlement distributed revised timetables before closing time.,1,eng,0,,,train
ex74,Ofisi ya Kampala ya hati za utambulisho ilianza tena kutoa vitambulisho baada ya mtandao kurudi.,1,swa,1,,,train
ex75,People at the taxi rank in Stellenbosch said officials managed the morning queue before the day ended.,1,eng,1,,,train
ex76,Ihhovisi likamasipala eidolobha lamukela izikhalo zamanzi ngaphambi kwemini.,1,zul,0,,,train
ex77,Ihhovisi le-Home Affairs eSoweto laqhubeka nokukhupha omazisi ngemva kokubuya kohlelo.,1,zul,1,,,train
ex78,Shule ya Kigali ilisajili wanafunzi waliochelewa kabla ya kipindi cha kwanza.,1,swa,1,,,train
ex79,Officials at the Home Affairs office in the service point processed late registrations after the morning briefing.,1,eng,0,,,train
ex80,People at the taxi rank in the suburb said officials collected fares once the manager signed off.,1,eng,0,,,train
ex81,Ihhovisi le-SASSA eeThekwini lixazulule imibuzo yezinkokhelo ekuseni.,1,zul,1,,,train
ex82,"At the Home Affairs office in the municipal area, staff explained ukuthi collections would resume once the network returned.",1,eng,0,,,train
ex83,The bank branch in Umlazi updated debit orders while matric registration was still under way.,1,eng,1,,,train
ex84,Ihhovisi le-Home Affairs ePolokwane laqhubeka nokukhupha omazisi ngemva kokubuya kohlelo.,1,zul,1,,,train
ex85,Shule ya eneo la huduma ilisajili wanafunzi waliochelewa kabla ya kipindi cha kwanza.,1,swa,0,,,train
ex86,Ofisi ya msaada wa kijamii ya Stellenbosch ilijibu maswali ya malipo asubuhi.,1,swa,1,,,train
ex87,The clinic in the administrative office dispensed medication before closing time.,1,eng,0,,,train
ex88,Umtholampilo waseMitchells Plain wamukele iziguli ekuseni ngemva kokwehla kolayini.,1,zul,1,,,train
ex89,The school in the municipal area opened the gates after assembly after the morning briefing.,1,eng,0,,,train
ex90,"At the Home Affairs office in Umlazi, staff captured ID applications while the morning line was still moving.",1,eng,1,,,train
ex91,Officials at the school in Mbombela opened the gates after assembly near the spaza shops.,1,eng,1,,,train
ex92,"Once load-shedding ended, the SASSA office in KwaMashu scheduled card collections while the morning line was still moving.",1,eng,1,,,train
ex93,People at the taxi rank in Stellenbosch said officials managed the morning queue once the manager signed off.,1,eng,1,,,train
ex94,Umtholampilo waseGqeberha wamukele iziguli ekuseni ngemva kokwehla kolayini.,1,zul,1,,,train
ex95,Ihhovisi le-SASSA eindawo yomphakathi lixazulule imibuzo yezinkokhelo ekuseni.,1,zul,0,,,train
ex96,Maktaba ya Kampala ilikopesha vitabu kwa wanafunzi jioni.,1,swa,1,,,train
ex97,"At the SASSA office in Mbombela, staff captured grant applications after the network recovered.",1,eng,1,,,train
ex98,Isikole saseSoweto sabhalisa abafundi abafike sekwephuzile ngaphambi kwekhefu.,1,zul,1,,,train
ex99,"At the clinic in the suburb, the nurse said the chronic queue would move first, ngakho patients waited outside.",1,eng,0,,,train
ex100,"At the Home Affairs office in the district office, staff explained ukuthi collections would resume once the network returned.",1,eng,0,,,train
ex101,People at the Home Affairs office in Gqeberha said officials processed late registrations before the day ended.,1,eng,1,,,train
ex102,Isikole saseTembisa sabhalisa abafundi abafike sekwephuzile ngaphambi kwekhefu.,1,zul,1,,,train
ex103,Officials at the school in the local ward distributed revised timetables after the morning briefing.,1,eng,0,,,train
ex104,Isikole saseUmlazi sabhalisa abafundi abafike sekwephuzile ngaphambi kwekhefu.,1,zul,1,,,train
ex105,"The municipal office in the local ward reopened after lunch, so abantu who needed account updates joined the line again.",1,eng,0,,,train
ex106,"Just before lunch, the SASSA office in Mombasa resolved payment queries during office hours.",1,eng,1,,,train
ex107,Ihhovisi le-SASSA eindawo kahulumeni lixazulule imibuzo yezinkokhelo ekuseni.,1,zul,0,,,train
ex108,"Kliniki ya the district office ilipokea wagonjwa wa dharura kwanza, then the routine files were checked.",1,eng,0,,,train
ex109,Officials at the municipal office in Kisumu issued refuse schedules while people waited in the SASSA queue.,1,eng,1,,,train
ex110,"At the municipal office in Mitchells Plain, staff received housing applications before the day ended.",1,eng,1,,,train
ex111,Ofisi ya Stellenbosch ya hati za utambulisho ilianza tena kutoa vitambulisho baada ya mtandao kurudi.,1,swa,1,,,train
ex112,The Home Affairs office in the municipal area released completed passports after the morning briefing.,1,eng,0,,,train
ex113,"At the Home Affairs office in Kisumu, staff explained ukuthi collections would resume once the network returned.",1,eng,1,,,train
ex114,"Before the counter closed, the school in Mombasa called a parents' meeting once the manager signed off.",1,eng,1,,,train
ex115,"At the school in the town centre, staff registered late learners as the rain started.",1,eng,0,,,train
ex116,The bank branch in Kisumu updated debit orders while people waited in the SASSA queue.,1,eng,1,,,train
ex117,People at the clinic in Arusha said officials scheduled follow-up visits after the network recovered.,1,eng,1,,,train
ex118,Officials at the Home Affairs office in the municipal area processed late registrations during office hours.,1,eng,0,,,train
ex119,Officials at the SASSA office in the town centre scheduled card collections under normal procedures.,1,eng,0,,,train
ex120,"After the queue shortened, the municipal office in the service point received housing applications before noon.",1,eng,0,,,train
ex121,"At the Home Affairs office in Khayelitsha, staff explained ukuthi collections would resume once the network returned.",1,eng,1,,,train
ex122,Maktaba ya eneo la huduma ilikopesha vitabu kwa wanafunzi jioni.,1,swa,0,,,train
ex123,"At the SASSA office in Umlazi, staff resolved payment queries while the morning line was still moving.",1,eng,1,,,train
ex124,"During the first shift, the clinic in Soweto checked blood-pressure cards once the manager signed off.",1,eng,1,,,train
ex125,Ofisi ya msaada wa kijamii ya eneo la huduma ilijibu maswali ya malipo asubuhi.,1,swa,0,,,train
ex126,"Kliniki ya eThekwini ilipokea wagonjwa wa dharura kwanza, then the routine files were checked.",1,eng,1,,,train
ex127,People at the school in the municipal area said officials opened the gates after assembly before the day ended.,1,eng,0,,,train
ex128,People at the Home Affairs office in Gqeberha said officials verified birth certificates before noon.,1,eng,1,,,train
ex129,Officials at the clinic in the municipal area scheduled follow-up visits during routine operations.,1,eng,0,,,train
ex130,Officials at the school in Mbombela marked exam scripts during the taxi rush.,1,eng,1,,,train
ex131,Ihhovisi likamasipala eMitchells Plain lamukela izikhalo zamanzi ngaphambi kwemini.,1,zul,1,,,train
ex132,People at the SASSA office in the town centre said officials resolved payment queries during office hours.,1,eng,0,,,train
ex133,Ofisi ya eneo la huduma ya hati za utambulisho ilianza tena kutoa vitambulisho baada ya mtandao kurudi.,1,swa,0,,,train
ex134,"Before the counter closed, the clinic in the local ward updated medical files after the network recovered.",1,eng,0,,,train
ex135,"The municipal office in KwaMashu reopened after lunch, so abantu who needed account updates joined the line again.",1,eng,1,,,train
ex136,Umtapo wolwazi waseindawo yomphakathi ubolekise izincwadi kubafundi ntambama.,1,zul,0,,,train
ex137,"During the first shift, the clinic in Mombasa updated medical files once the manager signed off.",1,eng,1,,,train
ex138,"At the Home Affairs office in the municipal area, staff explained ukuthi collections would resume once the network returned.",1,eng,0,,,train
ex139,"After the queue shortened, the municipal office in Gqeberha received housing applications after the network recovered.",1,eng,1,,,train
ex140,People at the Home Affairs office in Arusha said officials processed late registrations once the manager signed off.,1,eng,1,,,train
ex141,"By mid-morning, the school in the suburb marked exam scripts before noon.",1,eng,0,,,train
ex142,Officials at the municipal office in Tembisa issued refuse schedules while people waited in the SASSA queue.,1,eng,1,,,train
ex143,Shule ya Arusha ilisajili wanafunzi waliochelewa kabla ya kipindi cha kwanza.,1,swa,1,,,train
ex144,Umtholampilo waseindawo kahulumeni wamukele iziguli ekuseni ngemva kokwehla kolayini.,1,zul,0,,,train
ex145,"At the Home Affairs office in Arusha, staff processed late registrations during office hours.",1,eng,1,,,train
ex146,"Just before lunch, the taxi rank in the town centre redirected passengers to another route before noon.",1,eng,0,,,train
ex147,Officials at the bank branch in the settlement replaced a bank card during routine operations.,1,eng,0,,,train
ex148,Officials at the municipal office in eThekwini issued refuse schedules while matric registration was still under way.,1,eng,1,,,train
ex149,Ihhovisi le-SASSA eindawo kahulumeni lixazulule imibuzo yezinkokhelo ekuseni.,1,zul,0,,,train
ex150,"The municipal office in Mbombela reopened after lunch, so abantu who needed account updates joined the line again.",1,eng,1,,,train
ex151,Ihhovisi le-SASSA eidolobha lavuna ummbila ekuseni.,0,zul,0,,,train
ex152,"At the Home Affairs office in Arusha, staff explained ukuthi the library books would be catalogued there.",0,eng,1,,,train
ex153,Officials at the library in Kisumu issued visas during the taxi rush.,0,eng,1,,,train
ex154,People at the clinic in Khayelitsha said officials harvested maize during office hours.,0,eng,1,,,train
ex155,Ofisi ya eneo la huduma ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,0,,,train
ex156,Isikole saseindawo kahulumeni sakhupha imithi ngaphambi kwekhefu.,0,zul,0,,,train
ex157,Isikole saseeThekwini sakhupha imithi ngaphambi kwekhefu.,0,zul,1,,,train
ex158,Maktaba ya mji ilifanya X-ray kwa wanafunzi jioni.,0,swa,0,,,train
ex159,The library in eThekwini vaccinated patients while matric registration was still under way.,0,eng,1,,,train
ex160,"At the bank branch in Mbombela, staff registered newborn babies once the manager signed off.",0,eng,1,,,train
ex161,"At the bank branch in the settlement, staff repaired traffic lights while the morning line was still moving.",0,eng,0,,,train
ex162,Officials at the school in Tembisa processed visas while matric registration was still under way.,0,eng,1,,,train
ex163,"At the clinic in Kigali, the nurse started issuing passports, ngakho patients were told to wait outside.",0,eng,1,,,train
ex164,Umtapo wolwazi waseindawo yomphakathi wenze ama-X-ray kubafundi ntambama.,0,zul,0,,,train
ex165,Officials at the bank branch in Kampala registered newborn babies near the spaza shops.,0,eng,1,,,train
ex166,Ofisi ya Kigali ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,1,,,train
ex167,Officials at the bank branch in Stellenbosch performed X-rays while people waited in the SASSA queue.,0,eng,1,,,train
ex168,Officials at the clinic in the municipal area issued passports during office hours.,0,eng,0,,,train
ex169,"At the Home Affairs office in Tembisa, staff explained ukuthi the library books would be catalogued there.",0,eng,1,,,train
ex170,People at the municipal office in Khayelitsha said officials performed surgery while the morning line was still moving.,0,eng,1,,,train
ex171,Umtholampilo waseindawo yomphakathi uphrinte izitifiketi zokuhlolwa ekuseni ngemva kokwehla kolayini.,0,zul,0,,,train
ex172,"At the clinic in Soweto, staff issued passports after the network recovered.",0,eng,1,,,train
ex173,Officials at the municipal office in Kampala vaccinated cattle near the spaza shops.,0,eng,1,,,train
ex174,Officials at the school in Mombasa performed surgery after load-shedding ended.,0,eng,1,,,train
ex175,"Once load-shedding ended, the Home Affairs office in the district office marked chemistry papers while the morning line was still moving.",0,eng,0,,,train
ex176,People at the taxi rank in Khayelitsha said officials performed blood tests while the morning line was still moving.,0,eng,1,,,train
ex177,"At the school in the town centre, staff treated fractures during office hours.",0,eng,0,,,train
ex178,Ofisi ya eneo la huduma ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,0,,,train
ex179,Umtholampilo waseindawo kahulumeni uphrinte izitifiketi zokuhlolwa ekuseni ngemva kokwehla kolayini.,0,zul,0,,,train
ex180,Umtapo wolwazi wasePolokwane wenze ama-X-ray kubafundi ntambama.,0,zul,1,,,train
ex181,The library in Arusha issued visas during the taxi rush.,0,eng,1,,,train
ex182,Ihhovisi le-Home Affairs eMitchells Plain lathengisa amathikithi etekisi ngemva kokubuya kohlelo.,0,zul,1,,,train
ex183,Ihhovisi likamasipala eMamelodi lenze ukuhlinzwa ngaphambi kwemini.,0,zul,1,,,train
ex184,Ofisi ya kitovu cha wilaya ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,0,,,train
ex185,Shule ya Mombasa ilianza kutoa dawa kabla ya kipindi cha kwanza.,0,swa,1,,,train
ex186,Kliniki ya Kisumu ilianza kuchapisha vyeti vya mtihani baada ya foleni kupungua.,0,swa,1,,,train
ex187,Ihhovisi le-SASSA eindawo kahulumeni lavuna ummbila ekuseni.,0,zul,0,,,train
ex188,"Kliniki ya Khayelitsha ilianza kuuza tiketi za basi, then the routine files were checked.",0,eng,1,,,train
ex189,People at the taxi rank in Nairobi said officials conducted surgeries before noon.,0,eng,1,,,train
ex190,People at the SASSA office in the suburb said officials harvested maize before noon.,0,eng,0,,,train
ex191,Kliniki ya eneo la huduma ilianza kuchapisha vyeti vya mtihani baada ya foleni kupungua.,0,swa,0,,,train
ex192,"Before the counter closed, the clinic in Polokwane printed degree certificates once the manager signed off.",0,eng,1,,,train
ex193,"After the queue shortened, the bank branch in the service point repaired traffic lights during office hours.",0,eng,0,,,train
ex194,Officials at the SASSA office in Kampala harvested maize while matric registration was still under way.,0,eng,1,,,train
ex195,Isikole saseUmlazi sakhupha imithi ngaphambi kwekhefu.,0,zul,1,,,train
ex196,Kliniki ya Kisumu ilianza kuchapisha vyeti vya mtihani baada ya foleni kupungua.,0,swa,1,,,train
ex197,Officials at the municipal office in the suburb performed surgery during office hours.,0,eng,0,,,train
ex198,Ofisi ya eneo la huduma ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,0,,,train
ex199,The taxi rank in the district office processed ID applications after the morning briefing.,0,eng,0,,,train
ex200,"At the Home Affairs office in the local ward, staff explained ukuthi the library books would be catalogued there.",0,eng,0,,,train
ex201,"Once load-shedding ended, the bank branch in the administrative office performed X-rays as the rain started.",0,eng,0,,,train
ex202,Ofisi ya Nairobi ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,1,,,train
ex203,The municipal office in Mombasa reopened after lunch and began performing surgery for abantu in the queue.,0,eng,1,,,train
ex204,"Just before lunch, the library in Khayelitsha performed surgery while the morning line was still moving.",0,eng,1,,,train
ex205,"Kliniki ya Umlazi ilianza kuuza tiketi za basi, then the routine files were checked.",0,eng,1,,,train
ex206,Officials at the school in Mbombela performed surgery near the spaza shops.,0,eng,1,,,train
ex207,Ofisi ya msaada wa kijamii ya Stellenbosch ilivuna mahindi asubuhi.,0,swa,1,,,train
ex208,"Just before lunch, the Home Affairs office in Mamelodi dispensed pain medication once the manager signed off.",0,eng,1,,,train
ex209,Isikole saseeThekwini sakhupha imithi ngaphambi kwekhefu.,0,zul,1,,,train
ex210,Ofisi ya Kigali ya hati za utambulisho ilianza kuuza tiketi za basi baada ya mtandao kurudi.,0,swa,1,,,train
ex211,Umtapo wolwazi waseSoweto wenze ama-X-ray kubafundi ntambama.,0,zul,1,,,train
ex212,Kliniki ya kitovu cha wilaya ilianza kuchapisha vyeti vya mtihani baada ya foleni kupungua.,0,swa,0,,,train
ex213,"At the school in the administrative office, staff processed visas before noon.",0,eng,0,,,train
ex214,People at the municipal office in Polokwane said officials vaccinated cattle after the network recovered.,0,eng,1,,,train
ex215,"After the queue shortened, the library in KwaMashu issued visas after the network recovered.",0,eng,1,,,train
ex216,Umtholampilo waseindawo yomphakathi uphrinte izitifiketi zokuhlolwa ekuseni ngemva kokwehla kolayini.,0,zul,0,,,train
ex217,Officials at the clinic in Mbombela printed degree certificates during the taxi rush.,0,eng,1,,,train
ex218,Ihhovisi le-SASSA eindawo yomphakathi lavuna ummbila ekuseni.,0,zul,0,,,train
ex219,The taxi rank in the suburb catalogued library books under normal procedures.,0,eng,0,,,train
ex220,"Kliniki ya Kampala ilianza kuuza tiketi za basi, then the routine files were checked.",0,eng,1,,,train
ex221,Officials at the municipal office in the district office repaired MRI scanners during routine operations.,0,eng,0,,,train
ex222,"Once load-shedding ended, the taxi rank in Khayelitsha catalogued library books as the rain started.",0,eng,1,,,train
ex223,"Just before lunch, the school in Mitchells Plain performed surgery while the morning line was still moving.",0,eng,1,,,train
ex224,Shule ya Kampala ilianza kutoa dawa kabla ya kipindi cha kwanza.,0,swa,1,,,train
ex225,The municipal office in Mamelodi reopened after lunch and began performing surgery for abantu in the queue.,0,eng,1,,,train
ex226,Officials at the library in the service point vaccinated patients during office hours.,0,eng,0,,,train
ex227,Officials at the bank branch in Gqeberha repaired traffic lights while matric registration was still under way.,0,eng,1,,,train
ex228,Isikole saseeThekwini sakhupha imithi ngaphambi kwekhefu.,0,zul,1,,,train
ex229,"Kliniki ya the municipal area ilianza kuuza tiketi za basi, then the routine files were checked.",0,eng,0,,,train
ex230,Ofisi ya manispaa ya Mombasa ilifanya upasuaji kabla ya mchana.,0,swa,1,,,train
ex231,"By mid-morning, the school in Kisumu processed visas before the day ended.",0,eng,1,,,train
ex232,Shule ya kitovu cha wilaya ilianza kutoa dawa kabla ya kipindi cha kwanza.,0,swa,0,,,train
ex233,Ihhovisi le-Home Affairs eindawo kahulumeni lathengisa amathikithi etekisi ngemva kokubuya kohlelo.,0,zul,0,,,train
ex234,Maktaba ya Arusha ilifanya X-ray kwa wanafunzi jioni.,0,swa,1,,,train
ex235,Kliniki ya Arusha ilianza kuchapisha vyeti vya mtihani baada ya foleni kupungua.,0,swa,1,,,train
ex236,Ihhovisi le-SASSA eKwaMashu lavuna ummbila ekuseni.,0,zul,1,,,train
ex237,Shule ya Kisumu ilianza kutoa dawa kabla ya kipindi cha kwanza.,0,swa,1,,,train
ex238,"Kliniki ya the municipal area ilianza kuuza tiketi za basi, then the routine files were checked.",0,eng,0,,,train
ex239,People at the library in the service point said officials issued visas while the morning line was still moving.,0,eng,0,,,train
ex240,Kliniki ya kitovu cha wilaya ilianza kuchapisha vyeti vya mtihani baada ya foleni kupungua.,0,swa,0,,,train
ex241,Officials at the library in the district office vaccinated patients during routine operations.,0,eng,0,,,train
ex242,Ofisi ya msaada wa kijamii ya Mbombela ilivuna mahindi asubuhi.,0,swa,1,,,train
ex243,"At the clinic in KwaMashu, staff printed degree certificates after the network recovered.",0,eng,1,,,train
ex244,"At the clinic in Khayelitsha, staff repaired traffic lights before the day ended.",0,eng,1,,,train
ex245,Ihhovisi likamasipala eindawo kahulumeni lenze ukuhlinzwa ngaphambi kwemini.,0,zul,0,,,train
ex246,Officials at the taxi rank in the municipal area issued degree certificates before closing time.,0,eng,0,,,train
ex247,Ihhovisi le-Home Affairs eKwaMashu lathengisa amathikithi etekisi ngemva kokubuya kohlelo.,0,zul,1,,,train
ex248,"By mid-morning, the municipal office in the service point performed surgery during office hours.",0,eng,0,,,train
ex249,"After the queue shortened, the school in eThekwini captured passport applications before noon.",0,eng,1,,,train
ex250,"By mid-morning, the clinic in the local ward sold bus tickets during office hours.",0,eng,0,,,train
ex251,"During the first shift, the SASSA office in the local ward sold airtime from the service desk once the manager signed off.",0,eng,0,,,train
ex252,"At the Home Affairs office in Kisumu, staff explained ukuthi the library books would be catalogued there.",0,eng,1,,,train
ex253,Umtapo wolwazi waseSoweto wenze ama-X-ray kubafundi ntambama.,0,zul,1,,,train
ex254,Officials at the clinic in the administrative office sold bus tickets after the morning briefing.,0,eng,0,,,train
ex255,"At the municipal office in the municipal area, staff repaired MRI scanners while the morning line was still moving.",0,eng,0,,,train
ex256,Umtapo wolwazi waseidolobha wenze ama-X-ray kubafundi ntambama.,0,zul,0,,,train
ex257,People at the municipal office in Khayelitsha said officials vaccinated cattle while the morning line was still moving.,0,eng,1,,,train
ex258,"At the library in Mbombela, staff loaded taxis while the morning line was still moving.",0,eng,1,,,train
ex259,People at the taxi rank in the local ward said officials catalogued library books after the network recovered.,0,eng,0,,,train
ex260,"At the municipal office in Mitchells Plain, staff vaccinated cattle while the morning line was still moving.",0,eng,1,,,train
ex261,Officials at the bank branch in Mamelodi performed X-rays while people waited in the SASSA queue.,0,eng,1,,,train
ex262,Ihhovisi likamasipala ePolokwane lenze ukuhlinzwa ngaphambi kwemini.,0,zul,1,,,train
ex263,Ihhovisi le-SASSA eSoweto lavuna ummbila ekuseni.,0,zul,1,,,train
ex264,Officials at the Home Affairs office in the service point marked chemistry papers after the morning briefing.,0,eng,0,,,train
ex265,"After the queue shortened, the clinic in Stellenbosch printed degree certificates while the morning line was still moving.",0,eng,1,,,train
ex266,People at the taxi rank in Polokwane said officials issued degree certificates after the network recovered.,0,eng,1,,,train
ex267,The municipal office in the municipal area vaccinated cattle after the morning briefing.,0,eng,0,,,train
ex268,"At the SASSA office in the municipal area, staff issued passports while the morning line was still moving.",0,eng,0,,,train
ex269,People at the clinic in the local ward said officials printed degree certificates as the rain started.,0,eng,0,,,train
ex270,"By mid-morning, the school in the settlement captured passport applications before noon.",0,eng,0,,,train
ex271,The bank branch in Nairobi dispensed vaccines while people waited in the SASSA queue.,0,eng,1,,,train
ex272,The bank branch in Mbombela repaired traffic lights while people waited in the SASSA queue.,0,eng,1,,,train
ex273,Ihhovisi le-Home Affairs eUmlazi lathengisa amathikithi etekisi ngemva kokubuya kohlelo.,0,zul,1,,,train
